English,Hebrew
end ,סוֹף
saying ,פִּתגָם
phone ,מכשיר טלפון
play ,לְשַׂחֵק
looks ,מבטים
couldn ,לא cound.
fucking ,מְזוּיָן
problem ,בְּעָיָה
few ,מְעַטִים
friends ,חברים
gotta ,חייב
ago ,לִפנֵי
open ,לִפְתוֹחַ
anyone ,כֹּל אֶחָד
killed ,נהרג
hope ,לְקַווֹת
face ,פָּנִים
until ,עד
lost ,אָבֵד
police ,מִשׁטָרָה
excuse ,סְלִיחָה
turn ,תור
business ,עֵסֶק
case ,מקרה
wants ,רוצה
says ,אומר
true ,נָכוֹן
die ,לָמוּת
heart ,לֵב
soon ,בקרוב
each ,כל אחד
worry ,דאגה
later ,יותר מאוחר
year ,שָׁנָה
watch ,שעון
music ,מוּסִיקָה
hand ,יד
having ,ללא שם:
probably ,כנראה
beautiful ,יפה
doctor ,דוֹקטוֹר
sit ,לָשֶׁבֶת
eat ,לאכול
thinking ,חושב
young ,צָעִיר
second ,שְׁנִיָה
working ,עובד
water ,מים
person ,אדם
part ,חֵלֶק
kids ,ילדים
late ,מאוחר
stuff ,דברים
exactly ,בְּדִיוּק
under ,תַחַת
death ,מוות
minute ,דַקָה
pay ,לְשַׁלֵם
crazy ,מְטוּרָף
forget ,לשכוח
everybody ,כולם
kid ,יֶלֶד
change ,שינוי
gave ,נתן
happen ,לִקְרוֹת
damn ,לעזאזל
five ,חָמֵשׁ
drink ,לִשְׁתוֹת
far ,רָחוֹק
knows ,יודע
its ,שֶׁלָה
whatever ,מה שתגיד
eyes ,עיניים
shut ,לִסְגוֹר
aren ,ארגון
hit ,מכה
taking ,לְקִיחָה
easy ,קַל
times ,פִּי
check ,חשבון
hands ,"הוֹשָׁב,"
minutes ,דקות
deal ,עִסקָה
different ,שונה
means ,אומר
point ,נְקוּדָה
inside ,בְּתוֹך
makes ,יוצר
asked ,נשאלת
somebody ,מִישֶׁהוּ
mine ,שלי
making ,הֲכָנָה
body ,גוּף
afraid ,חוֹשֵׁשׁ
sleep ,לִישׁוֹן
chance ,הִזדַמְנוּת
dear ,יָקָר
quite ,דַי
four ,ארבעה
anyway ,בכל מקרה
close ,סגור
ain ,עין
party ,מפלגה
fun ,כֵּיף
against ,מול
word ,מִלָה
comes ,יגיע
important ,חָשׁוּב
set ,מַעֲרֶכֶת
shall ,-
story ,כַּתָבָה
number ,מספר
daughter ,בַּת
least ,הכי פחות
waiting ,הַמתָנָה
hurt ,כאב
wish ,בַּקָשָׁה
moment ,רֶגַע
fight ,מַאֲבָק
week ,שָׁבוּעַ
husband ,בַּעַל
girls ,בנות
rest ,מנוחה
married ,נָשׂוּי
fire ,אֵשׁ
game ,מִשְׂחָק
nobody ,אף אחד
mr ,אדון
children ,יְלָדִים
side ,צַד
stand ,לַעֲמוֹד
read ,לקרוא
though ,אף על פי כן
cut ,גזירה
started ,התחיל
sister ,אָחוֹת
supposed ,אמור
between ,בֵּין
child ,יֶלֶד
goes ,הולך
hours ,שעה (ות
speak ,לְדַבֵּר
women ,נשים
behind ,מֵאָחוֹר
almost ,כִּמעַט
truth ,אֶמֶת
blood ,דָם
able ,יכול
lady ,גברת
anymore ,עוד יותר
playing ,נַגָן
gets ,רֶצַח
shot ,בְּעִיטָה
reason ,סיבה
trouble ,צרה
break ,לשבור
war ,מִלחָמָה
city ,עִיר
walk ,לָלֶכֶת
town ,העיר
trust ,אמון
dr. ,"ד""ר."
met ,נפגש
office ,מִשׂרָד
question ,שְׁאֵלָה
brought ,הביא
yours ,שלך
welcome ,ברוך הבא
high ,גָבוֹהַ
wow ,וואו
couple ,זוּג
half ,חֲצִי
died ,מת
cool ,מגניב
free ,חינם
either ,אוֹ
seems ,נראה
power ,כּוֹחַ
whoa ,וואו
bye ,ביי
buy ,לִקְנוֹת
telling ,טַיָס
honey ,דבש
tried ,ניסיתי
front ,חֲזִית
team ,קְבוּצָה
answer ,תשובה
gun ,אֶקְדָח
boys ,בנים
line ,קַו
send ,לִשְׁלוֹחַ
news ,חֲדָשׁוֹת
stupid ,מְטוּפָּשׁ
bed ,מיטה
hurry ,לְמַהֵר
full ,מלא
months ,חודשיים
save ,לשמור
sometimes ,לִפְעָמִים
become ,הפכו
along ,לְאוֹרֶך
hate ,שִׂנאָה
food ,מזון
outside ,בחוץ
light ,אוֹר
l ,-
needs ,צרכי
dog ,כֶּלֶב
country ,מדינה
clear ,ברור
order ,להזמין
em ,א.מ.
fact ,עוּבדָה
lord ,אָדוֹן
captain ,סֶרֶן
six ,שֵׁשׁ
hot ,חַם
funny ,מצחיק
black ,שָׁחוֹר
mrs. ,גברת.
alive ,בחיים
pick ,לִבחוֹר
feeling ,מַרגִישׁ
living ,חַי
cause ,גורם
ahead ,קָדִימָה
lose ,לאבד
king ,מלך
plan ,לְתַכְנֵן
dinner ,אֲרוּחַת עֶרֶב
sighs ,אנחות
sort ,סוג
leaving ,עֲזִיבָה
shouldn ,לא
running ,רץ
boss ,בּוֹס
alright ,בְּסֵדֶר
promise ,הַבטָחָה
taken ,נלקח
safe ,בטוח
ma ,אִמָא
book ,סֵפֶר
sent ,נֶהָד
white ,לבן
hour ,שָׁעָה
anybody ,מִישֶׁהוּ
small ,קָטָן
perfect ,מושלם
cause ,גורם
lives ,חיים
special ,מיוחד
parents ,הורים
s ,ס '
john ,ג 'ון
himself ,עַצמוֹ
perhaps ,אוּלַי
sounds ,צלילים
serious ,רְצִינִי
sick ,חוֹלֶה
company ,חֶברָה
ha ,האח
scared ,פחד
uncle ,דוֹד
poor ,עני
red ,אָדוֹם
past ,עבר
earth ,כדור הארץ
possible ,אפשרי
shoot ,לירות
touch ,לגעת
sound ,נשמע
top ,חלק עליון
ass ,תַחַת
laughs ,צוחק
cannot ,לא יכול
asking ,שואל
win ,לנצח
glad ,שַׂמֵחַ
control ,לִשְׁלוֹט
hmm ,hmm
human ,בן אנוש
drive ,נהיגה
hair ,שיער
jack ,ג'ֵק
bitch ,כַּלבָּה
luck ,מַזָל
murder ,רֶצַח
happens ,קורה
air ,אוויר
ten ,עשר
daddy ,אַבָּא
finally ,סוף כל סוף
chuckles ,צחקוקים
fast ,מָהִיר
cold ,קַר
seem ,נראה
laughing ,צוחק
words ,מילים
hospital ,בית חולים
street ,רְחוֹב
hang ,לִתְלוֹת
dance ,לִרְקוֹד
meeting ,פְּגִישָׁה
till ,עד
others ,אחרים
catch ,לתפוס
follow ,לעקוב אחר
sense ,לָחוּשׁ
sex ,מִין
lie ,שקר
evening ,עֶרֶב
master ,לִשְׁלוֹט
known ,ידוע
dream ,חולם
write ,לִכתוֹב
million ,מִילִיוֹן
voice ,קוֹל
sweet ,מתוק
rather ,אלא
felt ,הרגיש
sign ,סִימָן
lucky ,בַּר מַזָל
somewhere ,אי שם
bet ,לְהַמֵר
o ,-
jesus ,יֵשׁוּעַ
longer ,ארוך יותר
calling ,יִעוּד
worked ,עבד
quiet ,שֶׁקֶט
looked ,נראה
less ,פָּחוּת
pull ,מְשׁוֹך
beat ,להיות ב
careful ,זָהִיר
coffee ,קפה
return ,לַחֲזוֹר
secret ,סוֹד
weeks ,-
weren ,ווירן
date ,תַאֲרִיך
seeing ,רְאִיָה
fall ,נפילה
given ,נָתוּן
ooh ,ooh.
fault ,אשמה
straight ,יָשָׁר
takes ,לוקח
song ,שִׁיר
future ,עתיד
gentlemen ,ג 'לימנים
loved ,אהוב
changed ,השתנה
road ,כְּבִישׁ
calm ,לְהַרְגִיעַ
wonderful ,נִפלָא
mad ,מְטוּרָף
turned ,-
drop ,יְרִידָה
ladies ,נשים
learn ,לִלמוֹד
step ,שלב
absolutely ,בהחלט
early ,מוקדם
explain ,להסביר
clean ,לְנַקוֹת
piece ,לְחַבֵּר
yesterday ,אתמול
throw ,לזרוק
picture ,תְמוּנָה
land ,ארץ
feet ,כּוֹתֶרֶת
wonder ,פֶּלֶא
questions ,שאלות
speaking ,דַבְּרָן
worth ,שִׁוּוּי
darling ,מוֹתֶק
dude ,אחי
giving ,מַתָן
president ,נָשִׂיא
eye ,עַיִן
quick ,מָהִיר
moving ,נע
figure ,דמות
state ,מדינה
strong ,חָזָק
sam ,סם
none ,אף אחד
amazing ,מדהים
ones ,יחידות
works ,עבודות
act ,פעולה
needed ,נָחוּץ
weird ,מְשׁוּנֶה
law ,חוֹק
worried ,מוּדְאָג
report ,להגיש תלונה
goodbye ,הֱיה שלום
missing ,חָסֵר
choice ,בְּחִירָה
happening ,מתרחש
chief ,רֹאשׁ
wedding ,חֲתוּנָה
strange ,מוּזָר
general ,כללי
pain ,כְּאֵב
am ,-
kidding ,צוחק
decided ,החליט
ya ,אתה
pass ,לַעֲבוֹר
tired ,עייף
class ,מעמד
officer ,קָצִין
kept ,שמר
wake ,לְהִתְעוֹרֵר
worse ,רע יותר
busy ,עסוק
eh ,אה
mistake ,טעות
kiss ,נְשִׁיקָה
court ,בית משפט
building ,בִּניָן
finish ,סיים
during ,בְּמַהֲלָך
age ,גיל
ship ,ספינה
caught ,נתפס
marry ,לְהִתְחַתֵן
meant ,התכוון
sell ,מכירה
dark ,אפל
watching ,צופה
system ,מערכת
suppose ,לְהַנִיחַ
evidence ,עֵדוּת
movie ,סרט
ride ,נסיעה
t ,t.
completely ,לַחֲלוּטִין
mouth ,פֶּה
totally ,לְגַמרֵי
birthday ,יום הולדת
tv ,טֵלֶוִיזִיָה
forgive ,לִסְלוֹחַ
born ,נוֹלָד
imagine ,לדמיין
information ,מֵידָע
instead ,במקום זאת
definitely ,בהחלט
security ,בִּטָחוֹן
certainly ,בְּהֶחלֵט
film ,סרט צילום
month ,חוֹדֶשׁ
lying ,שֶׁקֶר
unless ,אֶלָא אִם
train ,רכבת
seven ,שבעה
wear ,לִלבּוֹשׁ
clothes ,ביגוד
michael ,מיכאל
hotel ,מלון
christmas ,חַג הַמוֹלָד
attack ,לִתְקוֹף
hasn ,חוצה
round ,עָגוֹל
expect ,לְצַפּוֹת
sing ,לָשִׁיר
terrible ,נורא
george ,ג 'ורג'
bag ,תיק
history ,הִיסטוֹרִיָה
blue ,כָּחוֹל
near ,סמוך ל
broke ,חסר פרוטה
station ,תַחֲנָה
seriously ,ברצינות
forever ,לָנֶצַח
david ,דוד
frank ,גלוי לב
except ,מלבד
thinks ,חושב
message ,הוֹדָעָה
entire ,שלם
joe ,ג'ו
table ,שולחן
talked ,דיבר
across ,ברחבי
rock ,סלע
lovely ,חביב
handle ,ידית
middle ,אֶמצַע
buddy ,חבר
paid ,שולם
protect ,לְהַגֵן
using ,באמצעות
floor ,קוֹמָה
ran ,הוֹרָאָה
swear ,לְקַלֵל
spend ,לְבַלוֹת
situation ,מַצָב
ring ,טַבַּעַת
anywhere ,בְּכָל מָקוֹם
dangerous ,מְסוּכָּן
bill ,שטר כסף
york ,יורק
army ,צָבָא
lead ,עוֹפֶרֶת
bought ,קנה
finished ,גָמוּר
fair ,יריד
sun ,שמש
letter ,מִכְתָב
fool ,שׁוֹטֶה
attention ,תשומת הלב
club ,מוֹעֲדוֹן
simple ,פָּשׁוּט
interesting ,מעניין
space ,מֶרחָב
test ,מִבְחָן
box ,קופסא
group ,קְבוּצָה
single ,יחיד
sitting ,יְשִׁיבָה
marriage ,נישואים
join ,לְהִצְטַרֵף
fear ,פַּחַד
d ,ד '
peace ,שָׁלוֹם
forgot ,שכח
force ,כּוֹחַ
short ,קצר
normal ,נוֹרמָלִי
charlie ,צ'רלי
present ,מתנה
enjoy ,תהנה
mike ,מִיקרוֹפוֹן
crime ,פֶּשַׁע
horse ,סוּס
ground ,"קרקע, אדמה"
american ,אֲמֶרִיקָאִי
count ,לספור
area ,אֵזוֹר
charge ,לחייב
honor ,כָּבוֹד
lunch ,ארוחת צהריים
miles ,מיילס
radio ,רָדִיוֹ
idiot ,אִידיוֹט
ball ,כַּדוּר
surprise ,הַפתָעָה
paper ,עיתון
key ,מַפְתֵחַ
boat ,סִירָה
quickly ,בִּמְהִירוּת
gold ,זהב
bar ,בָּר
fish ,דג
mark ,סימן
tom ,טום
wearing ,לובש
crying ,בְּכִי
accident ,תְאוּנָה
government ,מֶמְשָׁלָה
eight ,שמונה
fell ,נפל
cover ,כיסוי
certain ,מסוים
interested ,מעוניין
deep ,עָמוֹק
star ,כוכב
sea ,יָם
agree ,לְהַסכִּים
problems ,בעיות
detective ,בַּלָשׁ
prison ,בית סוהר
major ,גדול
stick ,מקל
offer ,הַצָעָה
difficult ,קָשֶׁה
smart ,לִכאוֹב
personal ,אישי
record ,תקליט
stopped ,עצר
hide ,להתחבא
whether ,האם
bank ,בַּנק
trip ,טיול
relax ,לְהִרָגַע
america ,אמריקה
public ,פּוּמְבֵּי
list ,רשימה
afternoon ,אחרי הצהריים
brain ,מוֹחַ
fix ,לתקן
bastard ,ממזר
proud ,גאה
tea ,תה
service ,שֵׁרוּת
screaming ,צועק
forward ,קָדִימָה
angry ,כּוֹעֵס
park ,פָּארק
soul ,נֶפֶשׁ
fighting ,לְחִימָה
peter ,פיטר
rich ,עָשִׁיר
agent ,סוֹכֵן
blow ,לנשוף
paul ,ללא שם:
dress ,שמלה
mary ,מרי
missed ,החמצה
scene ,סְצֵינָה
killing ,הֶרֶג
standing ,עוֹמֵד
saved ,שמור
mm ,"מ""מ"
respect ,הערכה
killer ,רוֹצֵחַ
ice ,קרח
mess ,אי סדר
tough ,קָשֶׁה
feels ,מרגיש
church ,כְּנֵסִיָה
sad ,עָצוּב
cell ,תָא
drunk ,שיכור
share ,לַחֲלוֹק
camera ,מַצלֵמָה
mm-hmm ,MM-HMM.
within ,בְּתוֹך
card ,כַּרְטִיס
fly ,"לטוס, זבוב"
ben ,בן
girlfriend ,חֲבֵרָה
laugh ,לִצְחוֹק
smell ,רֵיחַ
broken ,שָׁבוּר
mum ,- אמא
honest ,יָשָׁר
often ,לעתים קרובות
starting ,החל
calls ,שיחות
y ,י '
spent ,מוּתַשׁ
third ,שְׁלִישִׁי
english ,אנגלית
visit ,לְבַקֵר
mama ,אִמָא
judge ,לִשְׁפּוֹט
window ,חַלוֹן
hungry ,רעב
dare ,לְהַעֵז
relationship ,מערכת יחסים
moved ,נִרגָשׁ
prove ,לְהוֹכִיחַ
private ,פְּרָטִי
wall ,קִיר
seat ,מושב
i-i ,I-I.
position ,עמדה
lieutenant ,סגן
realize ,לִהַבִין
lt ,סָגוֹר
especially ,במיוחד
machine ,מְכוֹנָה
walking ,הליכה
art ,אומנות
pleasure ,הנאה
bloody ,אָרוּר
college ,מִכלָלָה
french ,צָרְפָתִית
involved ,מְעוּרָב
cry ,בוכה
became ,הפכתי
lived ,שוגר
impossible ,בלתי אפשרי
obviously ,מובן מאליו
neither ,לא זה ולא זה
accept ,לְקַבֵּל
boyfriend ,הֶחָבֵר
besides ,חוץ מזה
queen ,מַלכָּה
teacher ,מוֹרֶה
cops ,שוטרים
sake ,סאקה
loves ,אוהב
carry ,לשאת
teach ,לְלַמֵד
apartment ,דִירָה
upset ,להרגיז
green ,ירוק
la ,לָה
liked ,אהב
cute ,חָמוּד
evil ,רוע
professor ,פּרוֹפֶסוֹר
contact ,איש קשר
joke ,בדיחה
cop ,שׁוֹטֵר
huge ,עָצוּם
holy ,קָדוֹשׁ
store ,חנות
jail ,כלא
likes ,אוהב
lawyer ,עורך דין
doubt ,ספק
continue ,לְהַמשִׁיך
appreciate ,מעריך
cat ,חתול
shop ,לִקְנוֹת
driving ,נְהִיגָה
congratulations ,מזל טוב
wrote ,כתבתי
village ,כְּפָר
quit ,לְהַפְסִיק
field ,שדה
james ,ג'יימס
wine ,יַיִן
decision ,הַחְלָטָה
south ,דָרוֹם
sleeping ,יָשֵׁן
slow ,לְהַאֵט
laughter ,צחוק
island ,אִי
glass ,זכוכית
beginning ,התחלה
cash ,כסף מזומן
dying ,גְסִיסָה
hundred ,מֵאָה
whose ,של מי
difference ,הֶבדֵל
plane ,מָטוֹס
push ,לִדחוֹף
continues ,ממשיך
mmm ,mmm
singing ,שִׁירָה
eating ,אֲכִילָה
north ,צָפוֹן
mrs ,גברת
tree ,עֵץ
madam ,גְבֶרֶת
gift ,מתנה
truck ,מַשָׂאִית
putting ,הַטרָמָה
bear ,דוב
board ,גלשן
grab ,לִתְפּוֹס
beer ,בירה
stuck ,תָקוּעַ
magic ,קֶסֶם
support ,תמיכה
rules ,כללים
grunts ,grunts
partner ,בת זוג
reach ,לְהַגִיעַ
wind ,רוּחַ
colonel ,אלוף משנה
max ,מקס
immediately ,מיד
seconds ,שניות
thousand ,אלף
gives ,נותן
experience ,ניסיון
cheers ,cheers
victim ,קורבן
upon ,עַל
computer ,מַחשֵׁב
christ ,כריסט
planet ,כוכב לכת
promised ,מוּבטָח
bus ,אוֹטוֹבּוּס
henry ,הנרי
dirty ,מְלוּכלָך
search ,לחפש
staying ,הִלשָׁנוּת
dreams ,חלומות
arrest ,מַעְצָר
holding ,הַחזָקָה
suddenly ,פִּתְאוֹם
usually ,בְּדֶרֶך כְּלַל
lots ,הרבה
shoes ,נעליים
er ,er
jump ,קְפִיצָה
rid ,לְשַׁחְרֵר
yo ,יו
knock ,נְקִישָׁה
owe ,OWE
harry ,לְהָצִיק
grow ,לגדול
worst ,הכי גרוע
river ,נהר
aunt ,דוֹדָה
patient ,סבלני
kitchen ,מִטְבָּח
aah ,aah
fat ,שמן
passed ,עברו
m ,M
final ,סופי
summer ,קַיִץ
bob ,בוב
listening ,הַקשָׁבָה
escape ,בריחה
everywhere ,בכל מקום
moon ,ירח
arms ,נשק
turns ,מסתובב
address ,כתובת
ow ,-
match ,התאמה
gasps ,מתנשף
grand ,גָדוֹל
yep ,כֵּן
shh ,"ש""י"
nervous ,עַצבָּנִי
de ,דְהנָה
choose ,בחר
themselves ,עצמם
decide ,לְהַחלִיט
mate ,בן זוג
drinking ,שְׁתִיָה
press ,ללחוץ
bother ,לְהטרִיד
foot ,כף רגל
hadn ,לאן
blame ,אשמה
crap ,שְׁטוּיוֹת
drugs ,סמים
type ,סוּג
rings ,טבעות
mission ,משימה
named ,בשם
heaven ,גן העדן
ii ,II
picked ,הרים
paris ,פריז
race ,גזע
risk ,לְהִסְתָכֵּן
books ,ספרים
further ,נוסף
danny ,דני
action ,פעולה
allowed ,מוּתָר
orders ,הזמנות
learned ,מְלוּמָד
price ,מחיר
arrived ,הגיעו
nick ,nick
otherwise ,אחרת
pictures ,תמונות
fit ,לְהַתְאִים
smoke ,עָשָׁן
favor ,טוֹבָה
played ,שיחק
notice ,הודעה
awesome ,מדהים
smile ,חיוך
director ,מְנַהֵל
guard ,שומר
begin ,התחל
spot ,לְזַהוֹת
surprised ,מוּפתָע
innocent ,תמים
narrator ,מספר
herself ,עַצמָה
london ,לונדון
feelings ,רגשות
enemy ,אוֹיֵב
battle ,קרב
ourselves ,בְּעָצמֵנוּ
alex ,אלכס
dollars ,דולרים
allow ,להתיר
nine ,תֵשַׁע
gay ,הוֹמִי
department ,מַחלָקָה
guilty ,אָשֵׁם
apart ,מלבד
earlier ,מוקדם יותר
duty ,חוֹבָה
jim ,ג 'ים
suit ,חליפה
bell ,פַּעֲמוֹן
west ,מַעֲרָב
legs ,סָמוֹך
hero ,גיבור
destroy ,להרוס
stage ,שלב
bunch ,צְרוֹר
according ,לפי
chicken ,עוף
bigger ,גדול יותר
grunting ,גְנִיחָה
low ,נָמוּך
helping ,מָנָה
admit ,להתוודות
closed ,סָגוּר
names ,שמות
witness ,עֵד
upstairs ,לְמַעלָה
arm ,זְרוֹעַ
steal ,לִגנוֹב
jimmy ,ג 'ימי
kick ,בְּעִיטָה
twice ,פעמיים
cross ,לַחֲצוֹת
ways ,דרכים
sergeant ,סמל
indeed ,אכן
gas ,גַז
keeping ,שְׁמִירָה
energy ,אֵנֶרְגִיָה
pregnant ,בְּהֵרָיוֹן
waste ,בזבוז
helped ,עזר
fired ,נורה
favorite ,אהוב
tony ,טוני
taste ,טַעַם
locked ,נָעוּל
places ,מקומות
writing ,כְּתִיבָה
adam ,אדם
brothers ,אחים
starts ,מתחיל
prince ,נסיך
form ,טופס
sold ,נמכר
silly ,טִפּשִׁי
mention ,אִזְכּוּר
build ,לִבנוֹת
throat ,גרון
hole ,חור
figured ,מְעוּטָר
track ,מַסלוּל
ringing ,צִלצוּל
lock ,לנעול
leg ,רגל
above ,מֵעַל
hiding ,הַסתָרָה
steve ,סטיב
seemed ,נראה
breakfast ,ארוחת בוקר
engine ,מנוע
written ,כתוב
complete ,לְהַשְׁלִים
video ,וִידֵאוֹ
applause ,תְשׁוּאוֹת
however ,למרות זאת
pressure ,לַחַץ
fresh ,טָרִי
weapon ,נֶשֶׁק
sky ,שָׁמַיִם
ms. ,גברת.
stole ,צָעִיף
study ,לימוד
burn ,לשרוף
reading ,קריאה
crowd ,קָהָל
treat ,טיפול
roll ,גָלִיל
double ,לְהַכפִּיל
spirit ,רוּחַ
danger ,סַכָּנָה
cost ,עֲלוּת
empty ,ריק
level ,רָמָה
memory ,זיכרון
itself ,עצמה
acting ,משחק
interest ,ריבית
nose ,אף
plans ,תוכניות
following ,הבא
bathroom ,חדר רחצה
built ,-
closer ,קרוב יותר
ray ,קֶרֶן
sarah ,סערה
band ,לְהִתְאַגֵד
groans ,גְנִיחָה
apparently ,ככל הנראה
excited ,נִרגָשׁ
richard ,ריצ'רד
losing ,לאבד
animals ,חיות
flight ,טִיסָה
nature ,טֶבַע
raise ,הַעֲלָאָה
pop ,פּוֹפּ
client ,לָקוּחַ
bomb ,פְּצָצָה
neck ,צוואר
suspect ,חָשׁוּד
warm ,נעים
extra ,תוֹסֶפֶת
bottle ,בקבוק
van ,ואן
heavy ,כָּבֵד
